date	KDC	DHG	VCB
19-10-2022	61.50	86	67.90
18-10-2022	61.80	83.40	67.70
17-10-2022	62	82.90	66.30
14-10-2022	63.10	83.30	68.10
13-10-2022	61.80	84	66.50
12-10-2022	61.50	84.20	64
11-10-2022	62.50	81	62
10-10-2022	63	83	65.10
07-10-2022	63.80	84	66.70
06-10-2022	64.30	84	70.10
05-10-2022	65	85	71.50
04-10-2022	62.30	84.50	71.30
03-10-2022	62.30	85.60	70.60
30-09-2022	62.50	85.50	73.20
29-09-2022	62.90	86.50	74
28-09-2022	63.20	88.60	75
27-09-2022	63.50	88.60	74.30
26-09-2022	63.50	87.40	75
23-09-2022	63.80	89	75.90
22-09-2022	63.70	89.80	78
21-09-2022	64.30	89.30	78.90
20-09-2022	65	90.80	79.20
19-09-2022	64.50	90.20	78.80
16-09-2022	64.90	90.90	80
15-09-2022	65.40	91.10	79.20
14-09-2022	66	90.50	78.30
13-09-2022	66.60	90.80	78.60
12-09-2022	66.90	92	79.10
09-09-2022	67	90.30	78.80
08-09-2022	67	90.30	78
07-09-2022	67	91	80
06-09-2022	67	92	82.70
05-09-2022	67	91.40	82.60
31-08-2022	67	91	84
30-08-2022	66.70	91.10	86
29-08-2022	66.70	92	82.50
26-08-2022	66.90	93.30	82.50
25-08-2022	67	93.30	82
24-08-2022	67	93.70	82
23-08-2022	67	93	80.20
22-08-2022	67	94	80
19-08-2022	67.50	93.40	80.90
18-08-2022	68	91.80	81.50
17-08-2022	68.10	91.60	81.50
16-08-2022	68.50	91.60	81.50
15-08-2022	68	92.10	81.80
12-08-2022	68	92.60	81.60
11-08-2022	68.20	92	81.50
10-08-2022	68.50	92.80	80.50
09-08-2022	68.50	92.30	80.80
08-08-2022	68.50	91.40	82
05-08-2022	68.50	91.50	82
04-08-2022	68.50	91.40	82.50
03-08-2022	69	91.90	79.50
02-08-2022	69	92	78.90
01-08-2022	70	92	77
29-07-2022	70.50	92.30	74.70
28-07-2022	69	92	75.30
27-07-2022	65.40	92.80	75
26-07-2022	64.70	92	73.90
25-07-2022	64.60	91.50	72.90
22-07-2022	64.20	93.50	72.50
21-07-2022	62	91.70	72.50
20-07-2022	61.40	88.50	72.50
19-07-2022	61.30	87.30	71.30
18-07-2022	61.30	88	72
15-07-2022	61.50	88	72.30
14-07-2022	61.40	88.20	72.40
13-07-2022	58.90	88.40	71.80
12-07-2022	58.70	88	71.90
11-07-2022	58.80	87.10	72
08-07-2022	58.90	88	74
07-07-2022	58.90	87.40	75.50
06-07-2022	58.50	87.40	72.80
